,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
7092,MT,59754,1,83.0,29.0,6.0,0.0,21.0,1334826.0,1429826.0,123000.0
7093,MT,59758,1,67.0,16.0,5.0,0.0,11.0,274539.0,440210.0,139329.0
7094,MT,59759,1,136.0,25.0,9.0,0.0,36.0,416198.0,534062.44,58098.0
7095,MT,59760,1,8.0,1.0,2.0,0.0,3.0,86843.0,86843.38,169611.0
7096,MT,59801,2,1213.0,289.0,80.0,2.0,262.0,-2.0,0.0,0.0
7097,MT,59804,1,1112.0,279.0,68.0,4.0,242.0,-2.0,0.0,0.0
7098,MT,59820,1,39.0,10.0,5.0,0.0,6.0,618680.0,1108440.38,38833.0
7099,MT,59821,1,122.0,34.0,14.0,2.0,26.0,480437.0,645728.81,31589.0
7100,MT,59824,1,94.0,22.0,8.0,0.0,20.0,394899.0,437399.0,142465.0
7101,MT,59828,1,493.0,112.0,30.0,0.0,72.0,59378.0,1424511.0,130386.0
7102,MT,59829,1,104.0,22.0,9.0,0.0,27.0,311934.0,621484.19,900.0
7103,MT,59832,1,73.0,15.0,7.0,0.0,27.0,336516.0,510999.25,53100.0
7104,MT,59833,1,252.0,70.0,19.0,0.0,56.0,1002647.0,1216033.0,546778.0
7105,MT,59834,1,412.0,120.0,29.0,0.0,95.0,1325431.0,1764925.5,145783.0
7106,MT,59840,1,486.0,110.0,31.0,0.0,114.0,1695579.0,2026528.5,57734.0
7107,MT,59845,1,74.0,17.0,7.0,1.0,14.0,298450.0,519003.44,638994.0
7108,MT,59853,1,65.0,13.0,7.0,0.0,15.0,342830.0,547309.0,102704.0
7109,MT,59855,1,128.0,41.0,18.0,0.0,60.0,898533.86,1429990.36,399090.88
7110,MT,59858,1,44.0,9.0,6.0,0.0,15.0,239224.0,1015695.0,112625.0
7111,MT,59859,1,117.0,26.0,9.0,0.0,19.0,640489.0,1126975.62,659023.0
7112,MT,59860,1,471.0,108.0,32.0,0.0,113.0,1984021.0,2587293.0,754524.0
7113,MT,59864,1,345.0,61.0,22.0,0.0,56.0,1032683.0,1595803.5,202672.0
7114,MT,59865,1,138.0,26.0,12.0,0.0,36.0,959000.0,1191000.0,193036.0
7115,MT,59866,1,39.0,10.0,6.0,0.0,9.0,238172.0,370389.69,559735.0
7116,MT,59868,1,99.0,27.0,9.0,0.0,27.0,-2.0,0.0,0.0
7117,MT,59870,1,389.0,90.0,22.0,0.0,85.0,1002775.0,1999782.25,89173.0
7118,MT,59872,1,73.0,12.0,7.0,0.0,2.0,341742.0,470284.59,19798.0
7119,MT,59873,1,176.0,56.0,11.0,0.0,64.0,453829.0,850408.12,813925.0
7120,MT,59875,1,108.0,30.0,9.0,0.0,32.0,450000.0,530000.0,60000.0
7121,MT,59901,2,1448.0,326.0,92.0,0.0,330.0,5719581.5,7986538.5,361438.5
7122,MT,59911,1,311.0,65.0,21.0,0.0,62.0,1028463.0,1868360.0,5898929.0
7123,MT,59912,1,621.0,140.0,40.0,0.0,138.0,2290955.0,2694500.0,92144.0
7124,MT,59917,1,291.0,81.0,18.0,0.0,72.0,958921.0,1100743.0,1057853.0
7125,MT,59923,1,359.0,86.0,23.0,0.0,139.0,1146972.0,1715803.12,666850.0
7126,MT,59935,1,120.0,16.0,9.0,0.0,0.0,387605.0,790602.06,1434373.0
7127,MT,59937,1,484.0,114.0,34.0,0.0,126.0,1748398.0,2425229.0,791184.0
7128,NC,27011,1,584.0,142.0,39.0,1.0,134.0,1732118.0,2063248.0,177660.0
7129,NC,27012,1,2399.0,566.0,125.0,4.0,577.0,6148164.0,7206030.0,517098.0
7130,NC,27016,1,351.0,92.0,32.0,0.0,79.0,1430237.0,1801616.0,346674.0
7131,NC,27017,2,561.0,143.0,28.0,0.0,128.0,1203906.0,1645576.5,214358.5
7132,NC,27018,1,849.0,215.0,55.0,4.0,210.0,2307656.0,2765618.0,179315.0
7133,NC,27021,1,887.0,195.0,57.0,8.0,209.0,2602644.0,3331871.0,527371.0
7134,NC,27027,1,921.0,215.0,47.0,1.0,205.0,2189232.0,2807643.0,371256.0
7135,NC,27028,2,951.0,214.0,56.0,2.0,220.0,2413248.5,3090881.5,518593.5
7136,NC,27030,2,701.0,153.0,43.0,1.0,156.0,1875933.5,2417757.0,374406.5
7137,NC,27040,1,2008.0,457.0,102.0,4.0,450.0,4837333.0,5813245.0,328226.0
7138,NC,27041,1,607.0,154.0,38.0,0.0,121.0,1683318.0,2261413.0,256347.0
7139,NC,27051,1,774.0,185.0,51.0,0.0,165.0,2166189.0,2941751.0,490214.0
