,crdc_id,year,ncessch,leaid,fips,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
1170,450390101544,2013,450390101544,4503901,45,2885377,4414598.000,3047552,,,,381524.000,,,
1171,450390101581,2013,450390101581,4503901,45,72164,687511.040,270500,,,,79858358.000,,,
1172,450390101582,2013,450390101582,4503901,45,754961,1209595.000,765001,,,,2503421.000,,,
1173,450390101588,2013,450390101588,4503901,45,352260,590540.000,430540,,,,367000.000,,,
1174,450390101589,2013,450390101589,4503901,45,184780,430771.800,184780,,,,169940.000,,,
1175,450390101590,2013,450390101590,4503901,45,1077586,1937759.000,1387254,,,,3087789.000,,,
1176,450390101591,2013,450390101591,4503901,45,627547,1035710.000,627547,,,,346087.000,,,
1177,450390101613,2013,450390101613,4503901,45,1030900,1460700.000,1010000,,,,1500000.000,,,
1178,450390101614,2013,450390101614,4503901,45,312466,463745.000,312466,,,,3000.000,,,
1179,450390101615,2013,450390101615,4503901,45,295398,556456.000,295398,,,,255988.000,,,
1180,450390101616,2013,450390101616,4503901,45,418537,516627.730,477212,,,,2178603.000,,,
1181,450390101617,2013,450390101617,4503901,45,949078,1594823.000,1226233,,,,709346.000,,,
1182,450390101619,2013,450390101619,4503901,45,133475,224167.000,133475,,,,54866.000,,,
1183,450390101620,2013,450390101620,4503901,45,576000,785000.000,591000,,,,1500701.000,,,
1184,450390200217,2013,450390200217,4503902,45,1980791,2855153.300,2152093,,,,288590.000,,,
1185,450390200223,2013,450390200223,4503902,45,1691130,2913486.700,1868567,,,,450631.000,,,
1186,450390200511,2013,450390200511,4503902,45,908049,1475384.500,997244,,,,161321.000,,,
1187,450390201057,2013,450390201057,4503902,45,1462868,2007815.000,1600340,,,,47692.000,,,
1188,450390201058,2013,450390201058,4503902,45,1269553,1767233.000,1472935,,,,84944.000,,,
1189,450390201059,2013,450390201059,4503902,45,1555363,1988142.000,1665763,,,,39079.000,,,
1190,450390201060,2013,450390201060,4503902,45,1412606,1771461.500,1507269,,,,34674.000,,,
1191,450390201061,2013,450390201061,4503902,45,762927,1266748.100,898663,,,,233625.000,,,
1192,450390201062,2013,450390201062,4503902,45,1219180,1712507.000,1358983,,,,43262.000,,,
1193,450390201063,2013,450390201063,4503902,45,1517143,2155468.300,1664516,,,,73359.000,,,
1194,450390201064,2013,450390201064,4503902,45,1416321,2172350.000,1592995,,,,271647.000,,,
1195,450390201065,2013,450390201065,4503902,45,4400624,6094262.700,4813067,,,,626742.000,,,
1196,450390201066,2013,450390201066,4503902,45,985754,1549738.600,1156531,,,,11552.000,,,
1197,450390201067,2013,450390201067,4503902,45,430470,755280.200,588909,,,,2402690.000,,,
1198,450390201068,2013,450390201068,4503902,45,663910,962911.000,757911,,,,34656.000,,,
1199,450390201069,2013,450390201069,4503902,45,1039257,1572177.900,1146608,,,,75803.000,,,
1200,450390201071,2013,450390201071,4503902,45,1031121,1687298.800,1356506,,,,89515.000,,,
1201,450390201072,2013,450390201072,4503902,45,741729,998172.400,787292,,,,14388.000,,,
1202,450390201073,2013,450390201073,4503902,45,1126737,1513390.000,1182517,,,,70349.000,,,
1203,450390201077,2013,450390201077,4503902,45,794809,1112570.000,811835,,,,96632.000,,,
1204,450390201078,2013,450390201078,4503902,45,1800292,2514666.500,1902259,,,,183431.000,,,
1205,450390201079,2013,450390201079,4503902,45,765542,1309383.600,914033,,,,94940.000,,,
1206,450390201080,2013,450390201080,4503902,45,362384,683035.700,434217,,,,18415.000,,,
1207,450390201317,2013,450390201317,4503902,45,888617,1259672.900,925451,,,,51026.000,,,
1208,450390201388,2013,450390201388,4503902,45,300000,300000.000,300000,,,,181682.000,,,
1209,450390201452,2013,450390201452,4503902,45,1576934,2118519.800,1707031,,,,50105.000,,,
1210,450390201453,2013,450390201453,4503902,45,1786351,2297745.000,1932815,,,,45603.000,,,
1211,450390299972,2013,,,45,534537,642021.000,552401,,,,8206.000,,,
1212,450390301563,2013,450390301563,4503903,45,685926,911102.000,685926,,,,142342.000,,,
1213,450390401580,2013,450390401580,4503904,45,2239522,4760706.000,2239522,,,,2744616.000,,,
1214,450390701579,2013,450390701579,4503907,45,1930715,4505606.000,1930715,,,,2391341.000,,,
1215,450390800053,2013,450390800053,4503908,45,503843,127009634.000,932064,,,,308303.000,,,
1216,450390800761,2013,450390800761,4503908,45,836006,1669462.610,1216165,,,,321222.000,,,
1217,450390800764,2013,450390800764,4503908,45,1143063,1810195.450,1381271,,,,367555.000,,,
1218,450390800765,2013,450390800765,4503908,45,1326231,2420401.000,1771964,,,,613941.000,,,
1219,450390800767,2013,450390800767,4503908,45,124678,541344.000,124678,,,,377150.000,,,
1220,450390800768,2013,450390800768,4503908,45,451068,887728.630,674104,,,,228934.000,,,
1221,450390800771,2013,450390800771,4503908,45,528958,974593.560,758858,,,,246722.000,,,
1222,450390800772,2013,450390800772,4503908,45,994589,1229832.000,1022832,,,,11817.000,,,
1223,450390800773,2013,450390800773,4503908,45,893634,1564845.130,1186008,,,,534068.000,,,
1224,450390800801,2013,450390800801,4503908,45,468206,888228.250,701808,,,,252882.000,,,
1225,450390801183,2013,450390801183,4503908,45,509865,1420591.600,1010596,,,,509865.000,,,
