,crdc_id,fips,year,ncessch,leaid,grade,race,sex,disability,lep,students_retained
110,450000100266,45,2017,450000100266,4500001,12,5,99,99,99,
111,450000100266,45,2017,450000100266,4500001,12,6,1,99,99,-2.0
112,450000100266,45,2017,450000100266,4500001,12,6,2,99,99,-2.0
113,450000100266,45,2017,450000100266,4500001,12,6,99,99,99,
114,450000100266,45,2017,450000100266,4500001,12,7,1,99,99,-2.0
115,450000100266,45,2017,450000100266,4500001,12,7,2,99,99,-2.0
116,450000100266,45,2017,450000100266,4500001,12,7,99,99,99,
117,450000100266,45,2017,450000100266,4500001,12,99,1,99,99,-2.0
118,450000100266,45,2017,450000100266,4500001,12,99,2,99,99,-2.0
119,450000100266,45,2017,450000100266,4500001,12,99,99,99,99,
120,450000100939,45,2017,450000100939,4500001,12,1,1,99,99,-2.0
121,450000100939,45,2017,450000100939,4500001,12,1,2,99,99,-2.0
122,450000100939,45,2017,450000100939,4500001,12,1,99,99,99,
123,450000100939,45,2017,450000100939,4500001,12,2,1,99,99,-2.0
124,450000100939,45,2017,450000100939,4500001,12,2,2,99,99,-2.0
125,450000100939,45,2017,450000100939,4500001,12,2,99,99,99,
126,450000100939,45,2017,450000100939,4500001,12,3,1,99,99,-2.0
127,450000100939,45,2017,450000100939,4500001,12,3,2,99,99,-2.0
128,450000100939,45,2017,450000100939,4500001,12,3,99,99,99,
129,450000100939,45,2017,450000100939,4500001,12,4,1,99,99,-2.0
130,450000100939,45,2017,450000100939,4500001,12,4,2,99,99,-2.0
131,450000100939,45,2017,450000100939,4500001,12,4,99,99,99,
132,450000100939,45,2017,450000100939,4500001,12,5,1,99,99,-2.0
133,450000100939,45,2017,450000100939,4500001,12,5,2,99,99,-2.0
134,450000100939,45,2017,450000100939,4500001,12,5,99,99,99,
135,450000100939,45,2017,450000100939,4500001,12,6,1,99,99,-2.0
136,450000100939,45,2017,450000100939,4500001,12,6,2,99,99,-2.0
137,450000100939,45,2017,450000100939,4500001,12,6,99,99,99,
138,450000100939,45,2017,450000100939,4500001,12,7,1,99,99,-2.0
139,450000100939,45,2017,450000100939,4500001,12,7,2,99,99,-2.0
140,450000100939,45,2017,450000100939,4500001,12,7,99,99,99,
141,450000100939,45,2017,450000100939,4500001,12,99,1,99,99,-2.0
142,450000100939,45,2017,450000100939,4500001,12,99,2,99,99,-2.0
143,450000100939,45,2017,450000100939,4500001,12,99,99,99,99,
144,450000101376,45,2017,450000101376,4500001,12,1,1,99,99,-2.0
145,450000101376,45,2017,450000101376,4500001,12,1,2,99,99,-2.0
146,450000101376,45,2017,450000101376,4500001,12,1,99,99,99,
147,450000101376,45,2017,450000101376,4500001,12,2,1,99,99,-2.0
148,450000101376,45,2017,450000101376,4500001,12,2,2,99,99,-2.0
149,450000101376,45,2017,450000101376,4500001,12,2,99,99,99,
150,450000101376,45,2017,450000101376,4500001,12,3,1,99,99,-2.0
151,450000101376,45,2017,450000101376,4500001,12,3,2,99,99,-2.0
152,450000101376,45,2017,450000101376,4500001,12,3,99,99,99,
153,450000101376,45,2017,450000101376,4500001,12,4,1,99,99,-2.0
154,450000101376,45,2017,450000101376,4500001,12,4,2,99,99,-2.0
155,450000101376,45,2017,450000101376,4500001,12,4,99,99,99,
156,450000101376,45,2017,450000101376,4500001,12,5,1,99,99,-2.0
157,450000101376,45,2017,450000101376,4500001,12,5,2,99,99,-2.0
158,450000101376,45,2017,450000101376,4500001,12,5,99,99,99,
159,450000101376,45,2017,450000101376,4500001,12,6,1,99,99,-2.0
160,450000101376,45,2017,450000101376,4500001,12,6,2,99,99,-2.0
161,450000101376,45,2017,450000101376,4500001,12,6,99,99,99,
162,450000101376,45,2017,450000101376,4500001,12,7,1,99,99,-2.0
163,450000101376,45,2017,450000101376,4500001,12,7,2,99,99,-2.0
164,450000101376,45,2017,450000101376,4500001,12,7,99,99,99,
165,450000101376,45,2017,450000101376,4500001,12,99,1,99,99,-2.0
166,450000101376,45,2017,450000101376,4500001,12,99,2,99,99,-2.0
167,450000101376,45,2017,450000101376,4500001,12,99,99,99,99,
168,450000101378,45,2017,450000101378,4500001,12,1,1,99,99,-2.0
169,450000101378,45,2017,450000101378,4500001,12,1,2,99,99,-2.0
170,450000101378,45,2017,450000101378,4500001,12,1,99,99,99,
171,450000101378,45,2017,450000101378,4500001,12,2,1,99,99,-2.0
172,450000101378,45,2017,450000101378,4500001,12,2,2,99,99,-2.0
173,450000101378,45,2017,450000101378,4500001,12,2,99,99,99,
174,450000101378,45,2017,450000101378,4500001,12,3,1,99,99,-2.0
175,450000101378,45,2017,450000101378,4500001,12,3,2,99,99,-2.0
176,450000101378,45,2017,450000101378,4500001,12,3,99,99,99,
177,450000101378,45,2017,450000101378,4500001,12,4,1,99,99,-2.0
178,450000101378,45,2017,450000101378,4500001,12,4,2,99,99,-2.0
179,450000101378,45,2017,450000101378,4500001,12,4,99,99,99,
180,450000101378,45,2017,450000101378,4500001,12,5,1,99,99,-2.0
181,450000101378,45,2017,450000101378,4500001,12,5,2,99,99,-2.0
182,450000101378,45,2017,450000101378,4500001,12,5,99,99,99,
183,450000101378,45,2017,450000101378,4500001,12,6,1,99,99,-2.0
184,450000101378,45,2017,450000101378,4500001,12,6,2,99,99,-2.0
185,450000101378,45,2017,450000101378,4500001,12,6,99,99,99,
186,450000101378,45,2017,450000101378,4500001,12,7,1,99,99,-2.0
187,450000101378,45,2017,450000101378,4500001,12,7,2,99,99,-2.0
188,450000101378,45,2017,450000101378,4500001,12,7,99,99,99,
189,450000101378,45,2017,450000101378,4500001,12,99,1,99,99,-2.0
190,450000101378,45,2017,450000101378,4500001,12,99,2,99,99,-2.0
191,450000101378,45,2017,450000101378,4500001,12,99,99,99,99,
192,450000101423,45,2017,450000101423,4500001,12,1,1,99,99,-2.0
193,450000101423,45,2017,450000101423,4500001,12,1,2,99,99,-2.0
194,450000101423,45,2017,450000101423,4500001,12,1,99,99,99,
195,450000101423,45,2017,450000101423,4500001,12,2,1,99,99,-2.0
196,450000101423,45,2017,450000101423,4500001,12,2,2,99,99,-2.0
197,450000101423,45,2017,450000101423,4500001,12,2,99,99,99,
198,450000101423,45,2017,450000101423,4500001,12,3,1,99,99,-2.0
199,450000101423,45,2017,450000101423,4500001,12,3,2,99,99,-2.0
200,450000101423,45,2017,450000101423,4500001,12,3,99,99,99,
201,450000101423,45,2017,450000101423,4500001,12,4,1,99,99,-2.0
202,450000101423,45,2017,450000101423,4500001,12,4,2,99,99,-2.0
203,450000101423,45,2017,450000101423,4500001,12,4,99,99,99,
204,450000101423,45,2017,450000101423,4500001,12,5,1,99,99,-2.0
205,450000101423,45,2017,450000101423,4500001,12,5,2,99,99,-2.0
206,450000101423,45,2017,450000101423,4500001,12,5,99,99,99,
207,450000101423,45,2017,450000101423,4500001,12,6,1,99,99,-2.0
208,450000101423,45,2017,450000101423,4500001,12,6,2,99,99,-2.0
209,450000101423,45,2017,450000101423,4500001,12,6,99,99,99,
210,450000101423,45,2017,450000101423,4500001,12,7,1,99,99,-2.0
211,450000101423,45,2017,450000101423,4500001,12,7,2,99,99,-2.0
212,450000101423,45,2017,450000101423,4500001,12,7,99,99,99,
213,450000101423,45,2017,450000101423,4500001,12,99,1,99,99,-2.0
214,450000101423,45,2017,450000101423,4500001,12,99,2,99,99,-2.0
215,450000101423,45,2017,450000101423,4500001,12,99,99,99,99,
216,450000200435,45,2017,450000200435,4500002,12,1,1,99,99,-2.0
217,450000200435,45,2017,450000200435,4500002,12,1,2,99,99,-2.0
218,450000200435,45,2017,450000200435,4500002,12,1,99,99,99,
219,450000200435,45,2017,450000200435,4500002,12,2,1,99,99,-2.0
220,450000200435,45,2017,450000200435,4500002,12,2,2,99,99,-2.0
221,450000200435,45,2017,450000200435,4500002,12,2,99,99,99,
222,450000200435,45,2017,450000200435,4500002,12,3,1,99,99,-2.0
223,450000200435,45,2017,450000200435,4500002,12,3,2,99,99,-2.0
224,450000200435,45,2017,450000200435,4500002,12,3,99,99,99,
225,450000200435,45,2017,450000200435,4500002,12,4,1,99,99,-2.0
226,450000200435,45,2017,450000200435,4500002,12,4,2,99,99,-2.0
227,450000200435,45,2017,450000200435,4500002,12,4,99,99,99,
228,450000200435,45,2017,450000200435,4500002,12,5,1,99,99,-2.0
229,450000200435,45,2017,450000200435,4500002,12,5,2,99,99,-2.0
230,450000200435,45,2017,450000200435,4500002,12,5,99,99,99,
231,450000200435,45,2017,450000200435,4500002,12,6,1,99,99,-2.0
232,450000200435,45,2017,450000200435,4500002,12,6,2,99,99,-2.0
233,450000200435,45,2017,450000200435,4500002,12,6,99,99,99,
234,450000200435,45,2017,450000200435,4500002,12,7,1,99,99,-2.0
235,450000200435,45,2017,450000200435,4500002,12,7,2,99,99,-2.0
236,450000200435,45,2017,450000200435,4500002,12,7,99,99,99,
237,450000200435,45,2017,450000200435,4500002,12,99,1,99,99,-2.0
238,450000200435,45,2017,450000200435,4500002,12,99,2,99,99,-2.0
239,450000200435,45,2017,450000200435,4500002,12,99,99,99,99,
240,450000200439,45,2017,450000200439,4500002,12,1,1,99,99,-2.0
241,450000200439,45,2017,450000200439,4500002,12,1,2,99,99,-2.0
242,450000200439,45,2017,450000200439,4500002,12,1,99,99,99,
243,450000200439,45,2017,450000200439,4500002,12,2,1,99,99,-2.0
244,450000200439,45,2017,450000200439,4500002,12,2,2,99,99,-2.0
245,450000200439,45,2017,450000200439,4500002,12,2,99,99,99,
246,450000200439,45,2017,450000200439,4500002,12,3,1,99,99,-2.0
247,450000200439,45,2017,450000200439,4500002,12,3,2,99,99,-2.0
248,450000200439,45,2017,450000200439,4500002,12,3,99,99,99,
249,450000200439,45,2017,450000200439,4500002,12,4,1,99,99,-2.0
250,450000200439,45,2017,450000200439,4500002,12,4,2,99,99,-2.0
251,450000200439,45,2017,450000200439,4500002,12,4,99,99,99,
252,450000200439,45,2017,450000200439,4500002,12,5,1,99,99,-2.0
253,450000200439,45,2017,450000200439,4500002,12,5,2,99,99,-2.0
254,450000200439,45,2017,450000200439,4500002,12,5,99,99,99,
255,450000200439,45,2017,450000200439,4500002,12,6,1,99,99,-2.0
256,450000200439,45,2017,450000200439,4500002,12,6,2,99,99,-2.0
257,450000200439,45,2017,450000200439,4500002,12,6,99,99,99,
258,450000200439,45,2017,450000200439,4500002,12,7,1,99,99,-2.0
259,450000200439,45,2017,450000200439,4500002,12,7,2,99,99,-2.0
260,450000200439,45,2017,450000200439,4500002,12,7,99,99,99,
261,450000200439,45,2017,450000200439,4500002,12,99,1,99,99,-2.0
262,450000200439,45,2017,450000200439,4500002,12,99,2,99,99,-2.0
263,450000200439,45,2017,450000200439,4500002,12,99,99,99,99,
264,450000200444,45,2017,450000200444,4500002,12,1,1,99,99,-2.0
265,450000200444,45,2017,450000200444,4500002,12,1,2,99,99,-2.0
266,450000200444,45,2017,450000200444,4500002,12,1,99,99,99,
267,450000200444,45,2017,450000200444,4500002,12,2,1,99,99,-2.0
268,450000200444,45,2017,450000200444,4500002,12,2,2,99,99,-2.0
269,450000200444,45,2017,450000200444,4500002,12,2,99,99,99,
270,450000200444,45,2017,450000200444,4500002,12,3,1,99,99,-2.0
271,450000200444,45,2017,450000200444,4500002,12,3,2,99,99,-2.0
272,450000200444,45,2017,450000200444,4500002,12,3,99,99,99,
273,450000200444,45,2017,450000200444,4500002,12,4,1,99,99,-2.0
274,450000200444,45,2017,450000200444,4500002,12,4,2,99,99,-2.0
275,450000200444,45,2017,450000200444,4500002,12,4,99,99,99,
276,450000200444,45,2017,450000200444,4500002,12,5,1,99,99,-2.0
277,450000200444,45,2017,450000200444,4500002,12,5,2,99,99,-2.0
278,450000200444,45,2017,450000200444,4500002,12,5,99,99,99,
279,450000200444,45,2017,450000200444,4500002,12,6,1,99,99,-2.0
280,450000200444,45,2017,450000200444,4500002,12,6,2,99,99,-2.0
281,450000200444,45,2017,450000200444,4500002,12,6,99,99,99,
282,450000200444,45,2017,450000200444,4500002,12,7,1,99,99,-2.0
283,450000200444,45,2017,450000200444,4500002,12,7,2,99,99,-2.0
284,450000200444,45,2017,450000200444,4500002,12,7,99,99,99,
285,450000200444,45,2017,450000200444,4500002,12,99,1,99,99,-2.0
286,450000200444,45,2017,450000200444,4500002,12,99,2,99,99,-2.0
287,450000200444,45,2017,450000200444,4500002,12,99,99,99,99,
288,450000200445,45,2017,450000200445,4500002,12,1,1,99,99,0.0
289,450000200445,45,2017,450000200445,4500002,12,1,2,99,99,0.0
290,450000200445,45,2017,450000200445,4500002,12,1,99,99,99,0.0
291,450000200445,45,2017,450000200445,4500002,12,2,1,99,99,1.0
292,450000200445,45,2017,450000200445,4500002,12,2,2,99,99,0.0
293,450000200445,45,2017,450000200445,4500002,12,2,99,99,99,1.0
294,450000200445,45,2017,450000200445,4500002,12,3,1,99,99,0.0
295,450000200445,45,2017,450000200445,4500002,12,3,2,99,99,0.0
296,450000200445,45,2017,450000200445,4500002,12,3,99,99,99,0.0
297,450000200445,45,2017,450000200445,4500002,12,4,1,99,99,0.0
298,450000200445,45,2017,450000200445,4500002,12,4,2,99,99,0.0
299,450000200445,45,2017,450000200445,4500002,12,4,99,99,99,0.0
300,450000200445,45,2017,450000200445,4500002,12,5,1,99,99,0.0
301,450000200445,45,2017,450000200445,4500002,12,5,2,99,99,0.0
302,450000200445,45,2017,450000200445,4500002,12,5,99,99,99,0.0
303,450000200445,45,2017,450000200445,4500002,12,6,1,99,99,0.0
304,450000200445,45,2017,450000200445,4500002,12,6,2,99,99,0.0
305,450000200445,45,2017,450000200445,4500002,12,6,99,99,99,0.0
306,450000200445,45,2017,450000200445,4500002,12,7,1,99,99,0.0
307,450000200445,45,2017,450000200445,4500002,12,7,2,99,99,0.0
308,450000200445,45,2017,450000200445,4500002,12,7,99,99,99,0.0
309,450000200445,45,2017,450000200445,4500002,12,99,1,99,99,1.0
310,450000200445,45,2017,450000200445,4500002,12,99,2,99,99,0.0
311,450000200445,45,2017,450000200445,4500002,12,99,99,99,99,1.0
312,450000201597,45,2017,450000201597,4500002,12,1,1,99,99,-2.0
313,450000201597,45,2017,450000201597,4500002,12,1,2,99,99,-2.0
314,450000201597,45,2017,450000201597,4500002,12,1,99,99,99,
315,450000201597,45,2017,450000201597,4500002,12,2,1,99,99,-2.0
316,450000201597,45,2017,450000201597,4500002,12,2,2,99,99,-2.0
317,450000201597,45,2017,450000201597,4500002,12,2,99,99,99,
318,450000201597,45,2017,450000201597,4500002,12,3,1,99,99,-2.0
319,450000201597,45,2017,450000201597,4500002,12,3,2,99,99,-2.0
320,450000201597,45,2017,450000201597,4500002,12,3,99,99,99,
321,450000201597,45,2017,450000201597,4500002,12,4,1,99,99,-2.0
322,450000201597,45,2017,450000201597,4500002,12,4,2,99,99,-2.0
323,450000201597,45,2017,450000201597,4500002,12,4,99,99,99,
324,450000201597,45,2017,450000201597,4500002,12,5,1,99,99,-2.0
325,450000201597,45,2017,450000201597,4500002,12,5,2,99,99,-2.0
326,450000201597,45,2017,450000201597,4500002,12,5,99,99,99,
327,450000201597,45,2017,450000201597,4500002,12,6,1,99,99,-2.0
